Week,Tier 4,Tier 5,Spend,RB Conv,RB CPO,AOV,ROAS
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set,bodi_static_get-offer_andg - 80do - july - 80challenge - please - 002 - dp (buy now)_7.3.24,991.02000427246,2.07444389001613,477.7280354711133,95.96320078056924,0.2008741243036632
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set,bodi_video_get-offer_andg - 80do - july - 80obsession - couldbeyou - 001 - dp (buy now)_7.3.24,170.629999160766,1.49948453851986,113.7924365190152,104.06529350857342,0.9145185452741724
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set,bodi_static_get-offer_andg - 80do - july - 80challenge - please - 003 - dp (buy now)_7.3.24,170.370003700256,1.10521571573878,154.15090581332566,108.4596285654436,0.7035938452206472
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set,bodi_static_get-offer_andg - 80do - july - 80challenge - please - 001 - dp (buy now)_7.3.24,69.2500009536743,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set,bodi_video_get-offer_andg - 80do - july - 80obsession - couldbeyou - 002 - dp (buy now)_7.3.24,23.0000002384185,0.719193055262232,31.98028689255383,102.32040388831564,3.199483614142922
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set,bodi_video_get-offer_andg - 80do - july - 80obsession - couldbeyou - 004 - dp (buy now)_7.3.24,18.0099998116493,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set,bodi_video_get-offer_andg - 80do - july - 80obsession - couldbeyou - 003 - dp (buy now)_7.3.24,6.14999997615814,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set Total,,1448.4300081133822,5.398337199537002,268.3103990313183,101.6190659759364,0.3787369641385946
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - couldbeyou - 003 - dp (buy now)_7.3.24,529.239990234375,0.834019255659694,634.5656729660946,85.72740359825416,0.1350961882283138
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - calendar - 002 - dp (buy now)_7.3.24,306.769996643066,1.83557308748298,167.12491522945717,128.11545377148406,0.7665850037714941
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - couldbeyou - 001 - dp (buy now)_7.3.24,147.530002117156,2.53579028105809,58.179102277968056,55.41638237722027,0.9525135350568308
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - calendar - 003 - dp (buy now)_7.3.24,110.13000011444,0.578753239102225,190.28835205359044,102.32039717705942,0.5377123511387769
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - calendar - 001 - dp (buy now)_7.3.24,108.309999942779,0.0,,,
